subject,file_name,id,kappa_12,kappa_13,kappa_23,kappa_mean
chemistry,GLM-4_chemistry,1,0.5384615384615384,0.6981132075471699,0.6226415094339622,0.6197387518142236
chemistry,GLM-4_chemistry,2,0.7619047619047619,0.7619047619047619,0.6774193548387097,0.7337429595494113
chemistry,GLM-4_chemistry,3,0.4676806083650189,0.8467432950191571,0.6168582375478928,0.643760713644023
chemistry,GLM-4_chemistry,4,0.6138996138996139,0.7609561752988048,0.5437262357414449,0.6395273416466213
chemistry,GLM-4_chemistry,5,0.6460176991150443,0.7468354430379747,0.5901639344262295,0.6610056921930828
chemistry,GLM-4_chemistry,6,0.7628458498023716,0.6825396825396826,0.609375,0.6849201774473513
chemistry,GLM-4_chemistry,7,0.7309417040358744,0.4871794871794871,0.7520661157024793,0.6567291023059469
chemistry,GLM-4_chemistry,8,0.5726495726495726,0.5575221238938053,0.8340248962655602,0.6547321976029794
chemistry,GLM-4_chemistry,9,0.37777777777777777,0.588477366255144,0.6581196581196581,0.5414582673841933
chemistry,GLM-4_chemistry,10,0.9236641221374046,0.6108949416342413,0.6923076923076923,0.7422889186931126
chemistry,GLM-4_chemistry,11,0.43775100401606426,0.525691699604743,0.757085020242915,0.5735092412879075
chemistry,GLM-4_chemistry,12,0.7478991596638656,0.8305084745762712,0.7489539748953975,0.7757872030451781
chemistry,GLM-4_chemistry,13,0.7510373443983402,0.9118942731277533,0.6610169491525424,0.7746495222262121
chemistry,GLM-4_chemistry,14,0.5121951219512195,0.6666666666666667,0.8275862068965517,0.6688159985048127
chemistry,GLM-4_chemistry,15,0.5951417004048584,0.5833333333333333,0.5348837209302325,0.5711195848894747
chemistry,GLM-4_chemistry,16,0.6212121212121212,0.6862745098039216,0.46564885496183206,0.591045161992625
chemistry,GLM-4_chemistry,17,0.5983935742971888,0.678714859437751,0.7637795275590551,0.6802959870979982
chemistry,GLM-4_chemistry,18,0.6581196581196581,0.6444444444444444,0.8237885462555066,0.708784216273203
chemistry,GLM-4_chemistry,19,0.5575221238938053,0.48275862068965514,0.7489539748953975,0.5964115731596192
chemistry,GLM-4_chemistry,20,0.6460176991150443,0.4495412844036697,0.6330275229357798,0.576195502151498
