subject,file_name,id,kappa_12,kappa_13,kappa_23,kappa_mean
math,GLM-4_math,1,0.6952380952380952,0.7669902912621359,0.791907514450867,0.751378633650366
math,GLM-4_math,2,0.6694214876033058,0.7391304347826086,0.8772378516624041,0.7619299246827729
math,GLM-4_math,3,0.6858638743455497,0.6883116883116883,0.8115183246073299,0.7285646290881894
math,GLM-4_math,4,0.5167785234899329,0.4545454545454545,0.9242902208201893,0.6318713996185256
math,GLM-4_math,5,0.7192982456140351,0.7192982456140351,0.9353099730458221,0.7913021547579641
math,GLM-4_math,6,0.3966480446927375,0.20661157024793386,0.7433155080213903,0.44885837432068726
math,GLM-4_math,7,0.4986945169712793,0.6938775510204082,0.6435643564356437,0.6120454748091104
math,GLM-4_math,8,0.6747967479674797,0.746031746031746,0.7022332506203474,0.7076872482065243
math,GLM-4_math,9,0.5328467153284672,0.5328467153284672,0.8793969849246231,0.6483634718605192
math,GLM-4_math,10,0.6298200514138816,0.6298200514138816,0.9418886198547215,0.7338429075608283
math,GLM-4_math,11,0.6086956521739131,0.6108108108108108,0.813953488372093,0.6778199837856057
math,GLM-4_math,12,0.6590909090909091,0.8011049723756907,0.8736842105263158,0.7779600306643052
math,GLM-4_math,13,0.4986945169712793,0.5089514066496164,0.8235294117647058,0.6103917784618672
math,GLM-4_math,14,0.5739644970414202,0.7037037037037037,0.7384196185286104,0.6720292730912448
math,GLM-4_math,15,0.47663551401869164,0.5541795665634675,0.8632478632478633,0.6313543146100075
math,GLM-4_math,16,0.5658914728682171,0.689922480620155,0.8239608801955991,0.6932582778946571
math,GLM-4_math,17,0.7419354838709677,0.7419354838709677,0.8756476683937824,0.7865062120452393
math,GLM-4_math,18,0.5596330275229358,0.6374622356495468,0.9247648902821317,0.7072867178182047
math,GLM-4_math,19,0.6666666666666667,0.6666666666666667,1.0,0.7777777777777778
math,GLM-4_math,20,0.35522388059701493,0.5596330275229358,0.6619718309859155,0.5256095797019554
