subject,file_name,id,kappa_12,kappa_13,kappa_23,kappa_mean
english,LessonPlan-Agent_english,1,-0.03597122302158273,-0.03597122302158273,1.0,0.30935251798561153
english,LessonPlan-Agent_english,2,1.0,0.9154929577464789,0.9154929577464789,0.943661971830986
english,LessonPlan-Agent_english,3,0.5833333333333333,0.595959595959596,0.52,0.5664309764309764
english,LessonPlan-Agent_english,4,0.4782608695652174,0.6571428571428571,0.6273291925465838,0.5875776397515527
english,LessonPlan-Agent_english,5,0.7534246575342466,0.5774647887323944,0.8344827586206897,0.7217907349624436
english,LessonPlan-Agent_english,6,0.7272727272727273,0.7272727272727273,1.0,0.8181818181818182
english,LessonPlan-Agent_english,7,0.9154929577464789,1.0,0.9154929577464789,0.943661971830986
english,LessonPlan-Agent_english,8,0.5966386554621849,0.6842105263157895,0.4736842105263158,0.5848444641014301
english,LessonPlan-Agent_english,9,0.7391304347826086,0.8222222222222222,0.7391304347826086,0.7668276972624799
english,LessonPlan-Agent_english,10,0.8297872340425532,0.6689655172413793,0.5102040816326531,0.6696522776388618
english,LessonPlan-Agent_english,11,0.7464788732394366,0.6689655172413793,0.7534246575342466,0.7229563493383542
english,LessonPlan-Agent_english,12,0.6883116883116882,0.40740740740740744,0.5102040816326531,0.5353077257839162
english,LessonPlan-Agent_english,13,0.5652173913043479,0.4084507042253521,0.6595744680851063,0.5444141878716021
english,LessonPlan-Agent_english,14,0.6896551724137931,0.7798165137614679,0.9032258064516129,0.790899164208958
english,LessonPlan-Agent_english,15,0.32867132867132864,0.48201438848920863,0.6546762589928058,0.4884539920511144
english,LessonPlan-Agent_english,16,0.75,0.8333333333333334,0.6,0.7277777777777779
english,LessonPlan-Agent_english,17,0.8350515463917526,0.5051546391752577,0.6444444444444444,0.6615502100038183
english,LessonPlan-Agent_english,18,1.0,1.0,1.0,1.0
english,LessonPlan-Agent_english,19,0.7534246575342466,0.5522388059701493,0.3557046979865772,0.5537893871636577
english,LessonPlan-Agent_english,20,0.6054794520547945,0.6054794520547945,1.0,0.7369863013698629
