subject,file_name,id,kappa_12,kappa_13,kappa_23,kappa_mean
math,qwen72b_math,1,0.5324675324675325,0.9180887372013652,0.6091205211726385,0.686558930280512
math,qwen72b_math,2,0.3983286908077994,0.9292035398230089,0.4666666666666667,0.5980662990991584
math,qwen72b_math,3,0.4920634920634921,1.0,0.4920634920634921,0.6613756613756614
math,qwen72b_math,4,0.616,0.6774193548387097,0.9333333333333333,0.7422508960573477
math,qwen72b_math,5,0.316062176165803,0.5567282321899736,0.6210526315789473,0.49794767997824135
math,qwen72b_math,6,0.3552238805970148,0.459807073954984,0.5609756097560976,0.45866885476936553
math,qwen72b_math,7,0.6108108108108108,0.8032786885245902,0.7948717948717949,0.7363204314023987
math,qwen72b_math,8,0.6721311475409837,0.8,0.73109243697479,0.7344078615052579
math,qwen72b_math,9,0.7480314960629921,0.625,0.6240208877284595,0.6656841279304838
math,qwen72b_math,10,0.6799999999999999,0.5625,0.5,0.5808333333333333
math,qwen72b_math,11,0.6399999999999999,0.8706199460916442,0.6354430379746836,0.7153543280221092
math,qwen72b_math,12,0.6907216494845361,0.7512953367875648,0.8105263157894737,0.7508477673538582
math,qwen72b_math,13,0.5897435897435898,0.6033057851239669,0.7241379310344828,0.6390624353006799
math,qwen72b_math,14,0.5,0.8743455497382199,0.625,0.6664485165794066
math,qwen72b_math,15,0.746031746031746,0.746031746031746,1.0,0.8306878306878307
math,qwen72b_math,16,0.8702702702702703,1.0,0.8702702702702703,0.9135135135135135
math,qwen72b_math,17,1.0,0.9365079365079365,0.9365079365079365,0.9576719576719577
math,qwen72b_math,18,0.2786885245901639,0.2786885245901639,1.0,0.5191256830601093
math,qwen72b_math,19,0.6190476190476191,0.6352583586626139,0.7037037037037037,0.6526698938046456
math,qwen72b_math,20,0.5294117647058824,0.6638655462184874,0.7192982456140351,0.6375251855128016
