subject,file_name,id,kappa_12,kappa_13,kappa_23,kappa_mean
english,GLM-4_english,1,0.9133574007220217,0.9133574007220217,1.0,0.9422382671480145
english,GLM-4_english,2,0.9238095238095239,1.0,0.9238095238095239,0.9492063492063493
english,GLM-4_english,3,0.8,1.0,0.8,0.8666666666666667
english,GLM-4_english,4,0.808,0.9359999999999999,0.873015873015873,0.8723386243386244
english,GLM-4_english,5,0.9333333333333333,0.9333333333333333,1.0,0.9555555555555556
english,GLM-4_english,6,0.6180371352785146,0.7966101694915254,0.6825396825396826,0.6990623291032408
english,GLM-4_english,7,0.8005540166204986,0.8005540166204986,1.0,0.8670360110803325
english,GLM-4_english,8,0.8048780487804879,0.8666666666666667,0.9359999999999999,0.8691815718157182
english,GLM-4_english,9,0.6610169491525424,0.8518518518518519,0.7931034482758621,0.7686574164267522
english,GLM-4_english,10,0.6129032258064516,0.8709677419354839,0.746031746031746,0.7433009045912272
english,GLM-4_english,11,0.5,0.5744680851063829,0.9032258064516129,0.6592312971859986
english,GLM-4_english,12,0.6629213483146067,0.7362637362637363,0.9342465753424658,0.7778105533069363
english,GLM-4_english,13,0.5862068965517242,0.7241379310344828,0.705521472392638,0.6719554333262816
english,GLM-4_english,14,0.6116504854368932,0.8389261744966443,0.7551020408163266,0.7352262335832881
english,GLM-4_english,15,0.7983193277310924,0.9292035398230089,0.8670360110803323,0.8648529595448112
english,GLM-4_english,16,0.8129870129870129,0.8736842105263158,0.9373368146214099,0.874669346044913
english,GLM-4_english,17,0.7037037037037037,0.8532110091743119,0.8584070796460177,0.8051072641746778
english,GLM-4_english,18,0.5227272727272727,0.7857142857142857,0.728813559322034,0.6790850392545309
english,GLM-4_english,19,0.7377049180327868,0.9349593495934959,0.8032786885245902,0.8253143187169577
english,GLM-4_english,20,0.64,0.6938775510204083,0.9368421052631579,0.756906552094522
