subject,file_name,id,kappa_12,kappa_13,kappa_23,kappa_mean
english,self-critique_english,1,0.9272727272727272,0.653179190751445,0.5752212389380531,0.7185577189874085
english,self-critique_english,2,0.6981132075471699,0.6396396396396397,0.6026490066225165,0.6468006179364421
english,self-critique_english,3,0.8620689655172413,0.7391304347826086,0.7333333333333334,0.7781775778777278
english,self-critique_english,4,0.9365079365079365,0.746031746031746,0.6858638743455497,0.7894678522950774
english,self-critique_english,5,0.7960339943342776,0.6739130434782609,0.48108108108108116,0.6503427062978732
english,self-critique_english,6,0.7405405405405405,0.6086956521739131,0.8651685393258427,0.7381349106800988
english,self-critique_english,7,0.728813559322034,0.6694214876033058,0.5186246418338109,0.6389532295863836
english,self-critique_english,8,0.8085106382978724,0.627906976744186,0.5757575757575757,0.6707250635998779
english,self-critique_english,9,0.9342465753424658,0.5175879396984924,0.5736040609137055,0.6751461919848879
english,self-critique_english,10,0.8584070796460177,0.6065573770491803,0.5988857938718662,0.6879500835223548
english,self-critique_english,11,0.8709677419354839,0.5434782608695653,0.6666666666666666,0.6937042231572387
english,self-critique_english,12,0.861271676300578,0.654178674351585,0.515850144092219,0.6771001649147941
english,self-critique_english,13,0.7176470588235294,0.7280453257790368,0.426865671641791,0.6241860187481191
english,self-critique_english,14,0.7714285714285715,0.5555555555555556,0.7575757575757576,0.6948532948532948
english,self-critique_english,15,0.9342465753424658,0.5038759689922481,0.5658914728682171,0.6680046724009769
english,self-critique_english,16,0.8640226628895185,0.6076294277929155,0.6022099447513811,0.691287345144605
english,self-critique_english,17,0.8032786885245902,0.7419354838709677,0.6721311475409837,0.7391151066455138
english,self-critique_english,18,0.8753246753246753,0.6866840731070496,0.6866840731070496,0.7495642738462581
english,self-critique_english,19,0.9292035398230089,0.5813953488372093,0.5130434782608695,0.6745474556403627
english,self-critique_english,20,0.8,0.625,0.8125,0.7458333333333332
